geo,Municipio,Puntaje,Año
15131,Caldas,61.624533,2021
15022,Almeida,71.124767,2021
15047,Aquitania,58.528000,2021
15051,Arcabuco,73.841633,2021
15087,Belén,60.830067,2021
15090,Berbeo,77.451433,2021
15092,Betéitiva,61.654833,2021
15097,Boavita,82.375600,2021
15106,Briceño,74.840133,2021
15109,Buenavista,63.464367,2021
15114,Busbanzá,60.845700,2021
15135,Campohermoso,67.665133,2021
15162,Cerinza,63.561300,2021
15172,Chinavita,68.761567,2021
15176,Chiquinquirá,78.309833,2021
15232,Chíquiza,72.937100,2021
15180,Chiscas,49.520433,2021
15183,Chita,85.243300,2021
15185,Chitaraque,88.978833,2021
15187,Chivatá,82.269667,2021
15236,Chivor,58.178500,2021
15189,Ciénega,70.522967,2021
15212,Coper,59.468800,2021
15215,Corrales,81.682933,2021
15218,Covarachía,56.783733,2021
15224,Cucaita,82.828367,2021
15226,Cuítiva,73.401267,2021
15104,Boyacá,72.271133,2021
15204,Cómbita,71.933433,2021
15223,Cubará,67.051867,2021
15322,Guateque,74.032000,2021
15332,Güicán,60.960000,2021
15377,Labranzagrande,70.105633,2021
15469,Moniquirá,57.483300,2021
15476,Motavita,74.784267,2021
15753,Soatá,67.273233,2021
15810,Tipacoque,65.443767,2021
15822,Tota,67.008633,2021
15238,Duitama,60.657733,2021
15244,El Cocuy,80.906267,2021
15248,El Espino,60.960200,2021
15272,Firavitoba,66.344433,2021
15276,Floresta,48.213667,2021
15293,Gachantivá,73.523933,2021
15296,Gámeza,62.816633,2021
15299,Garagoa,72.716500,2021
15317,Guacamayas,64.539200,2021
15325,Guayatá,82.999967,2021
15362,Iza,68.437033,2021
15367,Jenesano,71.450800,2021
15368,Jericó,89.122833,2021
15380,La Capilla,76.242367,2021
15403,La Uvita,65.267433,2021
15401,La Victoria,59.515667,2021
15425,Macanal,78.058200,2021
15442,Maripí,54.362900,2021
15455,Miraflores,70.175167,2021
15464,Mongua,64.704000,2021
15466,Monguí,74.051733,2021
15480,Muzo,65.281500,2021
15491,Nobsa,84.384200,2021
15494,Nuevo Colón,68.504967,2021
15500,Oicatá,71.200000,2021
15507,Otanche,64.173200,2021
15511,Pachavita,89.378633,2021
15514,Páez,63.641267,2021
15516,Paipa,75.408633,2021
15518,Pajarito,70.271767,2021
15522,Panqueba,65.436167,2021
15531,Pauna,59.807367,2021
15533,Paya,67.815933,2021
15537,Paz De Río,90.253933,2021
15542,Pesca,71.877567,2021
15550,Pisba,57.565600,2021
15572,Puerto Boyacá,68.148833,2021
15580,Quípama,70.406667,2021
15599,Ramiriquí,35.970667,2021
15600,Ráquira,98.233362,2021
15621,Rondón,64.186867,2021
15632,Saboyá,94.301479,2021
15638,Sáchica,63.922033,2021
15646,Samacá,72.351567,2021
15660,San Eduardo,58.406533,2021
15664,San José De Pare,63.649600,2021
15667,San Luis De Gaceno,56.694633,2021
15673,San Mateo,53.655800,2021
15676,San Miguel De Sema,64.158267,2021
15681,San Pablo De Borbur,98.154453,2021
15690,Santa María,67.438033,2021
15693,Santa Rosa De Viterbo,62.592267,2021
15696,Santa Sofía,80.505300,2021
15686,Santana,61.230600,2021
15720,Sativanorte,52.778200,2021
15723,Sativasur,67.709433,2021
15740,Siachoque,60.120533,2021
15757,Socha,54.704033,2021
15755,Socotá,71.339467,2021
15759,Sogamoso,97.568067,2021
15761,Somondoco,58.358800,2021
15762,Sora,54.937233,2021
15764,Soracá,60.596600,2021
15763,Sotaquirá,89.048067,2021
15774,Susacón,61.906433,2021
15776,Sutamarchán,98.112174,2021
15778,Sutatenza,73.790233,2021
15790,Tasco,81.897533,2021
15798,Tenza,67.553867,2021
15804,Tibaná,95.429146,2021
15806,Tibasosa,86.179300,2021
15808,Tinjacá,76.285233,2021
15814,Toca,76.247800,2021
15816,Togüí,86.605500,2021
15820,Tópaga,62.481500,2021
15001,Tunja,94.040600,2021
15832,Tununguá,66.314600,2021
15835,Turmequé,71.314633,2021
15837,Tuta,76.215833,2021
15839,Tutazá,75.959800,2021
15842,Úmbita,70.627033,2021
15861,Ventaquemada,67.270133,2021
15407,Villa De Leyva,70.764833,2021
15879,Viracachá,69.573533,2021
15897,Zetaquira,73.061300,2021
